,Date,Open,High,Low,Close,Volume,Market Cap
22,"Mar 04, 2018",11497.4,11512.6,11136.1,11512.6,6084150000,194289000000
23,"Mar 03, 2018",11101.9,11528.2,11002.4,11489.7,6690570000,187581000000
24,"Mar 02, 2018",10977.4,11189.0,10850.1,11086.4,7620590000,185456000000
25,"Mar 01, 2018",10385.0,11052.3,10352.7,10951.0,7317280000,175427000000
26,"Feb 28, 2018",10687.2,11089.8,10393.1,10397.9,6936190000,180510000000
27,"Feb 27, 2018",10393.9,10878.5,10246.1,10725.6,6966180000,175536000000
28,"Feb 26, 2018",9669.43,10475.0,9501.73,10366.7,7287690000,163283000000
29,"Feb 25, 2018",9796.42,9923.22,9407.06,9664.73,5706940000,165407000000
30,"Feb 24, 2018",10287.7,10597.2,9546.97,9813.07,6917930000,173682000000
31,"Feb 23, 2018",9937.07,10487.3,9734.56,10301.1,7739500000,167746000000
32,"Feb 22, 2018",10660.4,11039.1,9939.09,10005.0,8040080000,179936000000
33,"Feb 21, 2018",11372.2,11418.5,10479.1,10690.4,9405340000,191927000000
34,"Feb 20, 2018",11231.8,11958.5,11231.8,11403.7,9926540000,189536000000
35,"Feb 19, 2018",10552.6,11273.8,10513.2,11225.3,7652090000,178055000000
36,"Feb 18, 2018",11123.4,11349.8,10326.0,10551.8,8744010000,187663000000
37,"Feb 17, 2018",10207.5,11139.5,10149.4,11112.7,8660880000,172191000000
38,"Feb 16, 2018",10135.7,10324.1,9824.82,10233.9,7296160000,170960000000
39,"Feb 15, 2018",9488.32,10234.8,9395.58,10166.4,9062540000,160025000000
40,"Feb 14, 2018",8599.92,9518.54,8599.92,9494.63,7909820000,145023000000
41,"Feb 13, 2018",8926.72,8958.47,8455.41,8598.31,5696720000,150516000000
42,"Feb 12, 2018",8141.43,8985.92,8141.43,8926.57,6256440000,137258000000
43,"Feb 11, 2018",8616.13,8616.13,7931.1,8129.97,6122190000,145245000000
44,"Feb 10, 2018",8720.08,9122.55,8295.47,8621.9,7780960000,146981000000
45,"Feb 09, 2018",8271.84,8736.98,7884.71,8736.98,6784820000,139412000000
46,"Feb 08, 2018",7637.86,8558.77,7637.86,8265.59,9346750000,128714000000
47,"Feb 07, 2018",7755.49,8509.11,7236.79,7621.3,9169280000,130683000000
48,"Feb 06, 2018",7051.75,7850.7,6048.26,7754.0,13999800000,118810000000
49,"Feb 05, 2018",8270.54,8364.84,6756.68,6955.27,9285290000,139325000000
50,"Feb 04, 2018",9175.7,9334.87,8031.22,8277.01,7073550000,154553000000
51,"Feb 03, 2018",8852.12,9430.75,8251.63,9174.91,7263790000,149085000000
52,"Feb 02, 2018",9142.28,9142.28,7796.49,8830.75,12726900000,153953000000
53,"Feb 01, 2018",10237.3,10288.8,8812.28,9170.54,9959400000,172372000000
54,"Jan 31, 2018",10108.2,10381.6,9777.42,10221.1,8041160000,170183000000
55,"Jan 30, 2018",11306.8,11307.2,10036.2,10106.3,8637860000,190339000000
56,"Jan 29, 2018",11755.5,11875.6,11179.2,11296.4,7107360000,197871000000
57,"Jan 28, 2018",11475.3,12040.3,11475.3,11786.3,8350360000,193133000000
58,"Jan 27, 2018",11174.9,11614.9,10989.2,11440.7,7583270000,188054000000
59,"Jan 26, 2018",11256.0,11656.7,10470.3,11171.4,9746200000,189398000000
60,"Jan 25, 2018",11421.7,11785.7,11057.4,11259.4,8873170000,192163000000
61,"Jan 24, 2018",10903.4,11501.4,10639.8,11359.4,9940990000,183419000000
62,"Jan 23, 2018",10944.5,11377.6,10129.7,10868.4,9660610000,184087000000
63,"Jan 22, 2018",11633.1,11966.4,10240.2,10931.4,10537400000,195645000000
64,"Jan 21, 2018",12889.2,12895.9,11288.2,11600.1,9935180000,216740000000
65,"Jan 20, 2018",11656.2,13103.0,11656.2,12899.2,11801700000,195979000000
66,"Jan 19, 2018",11429.8,11992.8,11172.1,11607.4,10740400000,192150000000
67,"Jan 18, 2018",11198.8,12107.3,10942.5,11474.9,15020400000,188242000000
68,"Jan 17, 2018",11431.1,11678.0,9402.29,11188.6,18830600000,192123000000
69,"Jan 16, 2018",13836.1,13843.1,10194.9,11490.5,18853800000,232517000000
70,"Jan 15, 2018",13767.3,14445.5,13641.7,13819.8,12750800000,231334000000
71,"Jan 14, 2018",14370.8,14511.8,13268.0,13772.0,11084100000,241447000000
72,"Jan 13, 2018",13952.4,14659.5,13952.4,14360.2,12763600000,234391000000
73,"Jan 12, 2018",13453.9,14229.9,13158.1,13980.6,12065700000,225986000000
74,"Jan 11, 2018",14968.2,15018.8,13105.9,13405.8,16534100000,251387000000
75,"Jan 10, 2018",14588.5,14973.3,13691.2,14973.3,18500800000,244981000000
76,"Jan 09, 2018",15123.7,15497.5,14424.0,14595.4,16660000000,253935000000
77,"Jan 08, 2018",16476.2,16537.9,14208.2,15170.1,18413900000,276612000000
78,"Jan 07, 2018",17527.3,17579.6,16087.7,16477.6,15866000000,294222000000
79,"Jan 06, 2018",17462.1,17712.4,16764.6,17527.0,18314600000,293091000000
80,"Jan 05, 2018",15477.2,17705.2,15202.8,17429.5,23840900000,259748000000
81,"Jan 04, 2018",15270.7,15739.7,14522.2,15599.2,21783200000,256250000000
82,"Jan 03, 2018",14978.2,15572.8,14844.5,15201.0,16871900000,251312000000
83,"Jan 02, 2018",13625.0,15444.6,13163.6,14982.1,16846600000,228579000000
84,"Jan 01, 2018",14112.2,14112.2,13154.7,13657.2,10291200000,236725000000
